Neighbourhood,Neighbourhood Postal Code,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Postal Code,Venue formattedAddress,Venue Category,Venue Postal Code Prefix
Oude Westen,3014,51.91977199999999,4.4660891,Old Dutch,51.91577576266155,4.4712633464381435,569,3015EK,"['Rochussenstraat 20', '3015EK Rotterdam', 'Nederland']",French Restaurant,3015
Oude Westen,3014,51.91977199999999,4.4660891,Annabel,51.92540257556953,4.475941780747949,922,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
Oude Westen,3014,51.91977199999999,4.4660891,WORM,51.91564622542384,4.476397066924331,843,3012 XA,"['Boomgaardsstraat 71 (Witte de Withstraat)', '3012 XA Rotterdam', 'Nederland']",Music Venue,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Emma Rotterdam,51.91684869270132,4.47273127968555,560,3015BA,"['Nieuwe Binnenweg 6 (Eendrachtsplein)', '3015BA Rotterdam', 'Nederland']",Hotel,3015
Oude Westen,3014,51.91977199999999,4.4660891,Kamer 3.11,51.917316,4.477079,802,3012 KE,"['Westblaak 67', '3012 KE Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hartig,51.91648381018933,4.478033367653975,898,3012 VA,"['Hartmanstraat 20a', '3012 VA Rotterdam', 'Nederland']",Bistro,3012
Oude Westen,3014,51.91977199999999,4.4660891,Miniworld Rotterdam,51.922658046060604,4.4647965835253425,333,3013 AL,"['Weena 745', '3013 AL Rotterdam', 'Nederland']",Museum,3013
Oude Westen,3014,51.91977199999999,4.4660891,Hilton Rotterdam,51.92348087523358,4.477438266531781,881,3012 CM,"['Weena 10', '3012 CM Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel NH Atlanta Rotterdam,51.92120700894419,4.478558387971228,870,3012 CA,"['Aert van Nesstraat 4', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Oude Luxor Theater,51.923231265710996,4.477055605176264,845,3012 EH,"['Kruiskade 10', '3012 EH Rotterdam', 'Nederland']",Theater,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Light,51.91532283902534,4.46351728299681,525,3014EJ,"[""'s Gravendijkwal 100"", '3014EJ Rotterdam', 'Nederland']",Hotel,3014
Oude Westen,3014,51.91977199999999,4.4660891,The Manhattan Brasserie & Bar,51.92255556228822,4.471417357124218,479,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",French Restaurant,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel-Restaurant Bazar,51.915845,4.478786,975,3012 BP,"['Witte de Withstraat 16', '3012 BP Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Rodin,51.916298743121025,4.48117441259471,1105,3011 ES,"['Schilderstraat 20a', '3011 ES Rotterdam', 'Nederland']",French Restaurant,3011
Oude Westen,3014,51.91977199999999,4.4660891,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,561,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Oude Westen,3014,51.91977199999999,4.4660891,De Harmonie,51.91388895002316,4.47488693820459,890,1017 JL,"['Prinsengracht 816', '1017 JL Rotterdam', 'Nederland']",Hotel,1017
Oude Westen,3014,51.91977199999999,4.4660891,Natuurhistorisch Museum Rotterdam,51.91079,4.47255,1093,3015 AA,"['Westzeedijk 345', '3015 AA Rotterdam', 'Nederland']",Museum,3015
